Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Miles_Driven ,Fuel_Type,Transmission
ritz,2014,3.35,5.59,27000,16780.60907,Petrol,Manual
sx4,2013,4.75,9.54,43000,26724.67371,Diesel,Manual
ciaz,2017,7.25,9.85,6900,4288.377874,Petrol,Manual
wagon r,2011,2.85,4.15,5200,3231.821007,Petrol,Manual
swift,2014,4.6,6.87,42450,26382.84649,Diesel,Manual
vitara brezza,2018,9.25,9.83,2071,1287.134866,Diesel,Manual
ciaz,2015,6.75,8.12,18796,11681.78993,Petrol,Manual
s cross,2015,6.5,8.61,33429,20776.25855,Diesel,Manual
ciaz,2016,8.75,8.89,20273,12599.7514,Diesel,Manual
ciaz,2015,7.45,8.92,42367,26331.26165,Diesel,Manual
alto 800,2017,2.85,3.6,2135,1326.911125,Petrol,Manual
ciaz,2015,6.85,10.38,51000,31696.70603,Diesel,Manual
ciaz,2015,7.5,9.94,15000,9322.560597,Petrol,Automatic
ertiga,2015,6.1,7.71,26000,16159.10503,Petrol,Manual
dzire,2009,2.25,7.21,77427,48121.19329,Petrol,Manual
ertiga,2016,7.75,10.79,43000,26724.67371,Diesel,Manual
ertiga,2015,7.25,10.79,41678,25903.04537,Diesel,Manual
ertiga,2016,7.75,10.79,43000,26724.67371,Diesel,Manual
wagon r,2015,3.25,5.09,35500,22063.39341,CNG,Manual
sx4,2010,2.65,7.98,41442,25756.37042,Petrol,Manual
alto k10,2016,2.85,3.95,25000,15537.60099,Petrol,Manual
ignis,2017,4.9,5.71,2400,1491.609695,Petrol,Manual
sx4,2011,4.4,8.01,50000,31075.20199,Petrol,Automatic
alto k10,2014,2.5,3.46,45280,28141.70292,Petrol,Manual
wagon r,2013,2.9,4.41,56879,35350.52828,Petrol,Manual
swift,2011,3,4.99,20000,12430.0808,Petrol,Manual
swift,2013,4.15,5.87,55138,34268.48975,Petrol,Manual
swift,2017,6,6.49,16200,10068.36544,Petrol,Manual
alto k10,2010,1.95,3.95,44542,27683.03294,Petrol,Manual
ciaz,2015,7.45,10.38,45000,27967.68179,Diesel,Manual
ritz,2012,3.1,5.98,51439,31969.5463,Diesel,Manual
ritz,2011,2.35,4.89,54200,33685.51896,Petrol,Manual
swift,2014,4.95,7.49,39000,24238.65755,Diesel,Manual
ertiga,2014,6,9.95,45000,27967.68179,Diesel,Manual
dzire,2014,5.5,8.06,45000,27967.68179,Diesel,Manual
sx4,2011,2.95,7.74,49998,31073.95898,CNG,Manual
dzire,2015,4.65,7.2,48767,30308.88751,Petrol,Manual
800,2003,0.35,2.28,127000,78931.01305,Petrol,Manual
alto k10,2016,3,3.76,10079,6264.139217,Petrol,Manual
sx4,2003,2.25,7.98,62000,38533.25047,Petrol,Manual
baleno,2016,5.85,7.87,24524,15241.76507,Petrol,Automatic
alto k10,2014,2.55,3.98,46706,29027.96768,Petrol,Manual
sx4,2008,1.95,7.15,58000,36047.23431,Petrol,Manual
dzire,2014,5.5,8.06,45780,28452.45494,Diesel,Manual
omni,2012,1.25,2.69,50000,31075.20199,Petrol,Manual
ciaz,2014,7.5,12.04,15000,9322.560597,Petrol,Automatic
ritz,2013,2.65,4.89,64532,40106.89869,Petrol,Manual
wagon r,2006,1.05,4.15,65000,40397.76259,Petrol,Manual
ertiga,2015,5.8,7.71,25870,16078.30951,Petrol,Manual
ciaz,2017,7.75,9.29,37000,22995.64947,Petrol,Automatic
fortuner,2012,14.9,30.61,104707,65075.82349,Diesel,Automatic
fortuner,2015,23,30.61,40000,24860.16159,Diesel,Automatic
innova,2017,18,19.77,15000,9322.560597,Diesel,Automatic
fortuner,2013,16,30.61,135000,83903.04537,Diesel,Automatic
innova,2005,2.75,10.21,90000,55935.36358,Petrol,Manual
corolla altis,2009,3.6,15.04,70000,43505.28278,Petrol,Automatic
etios cross,2015,4.5,7.27,40534,25192.04475,Petrol,Manual
corolla altis,2010,4.75,18.54,50000,31075.20199,Petrol,Manual
etios g,2014,4.1,6.8,39485,24540.08701,Petrol,Manual
fortuner,2014,19.99,35.96,41000,25481.66563,Diesel,Automatic
corolla altis,2013,6.95,18.61,40001,24860.7831,Petrol,Manual
etios cross,2015,4.5,7.7,40588,25225.60597,Petrol,Manual
fortuner,2014,18.75,35.96,78000,48477.3151,Diesel,Automatic
fortuner,2015,23.5,35.96,47000,29210.68987,Diesel,Automatic
fortuner,2017,33,36.23,6000,3729.024239,Diesel,Automatic
etios liva,2014,4.75,6.95,45000,27967.68179,Diesel,Manual
innova,2017,19.75,23.15,11000,6836.544438,Petrol,Automatic
fortuner,2010,9.25,20.45,59000,36668.73835,Diesel,Manual
corolla altis,2011,4.35,13.74,88000,54692.3555,Petrol,Manual
corolla altis,2016,14.25,20.91,12000,7458.048477,Petrol,Manual
etios liva,2014,3.95,6.76,71000,44126.78682,Diesel,Manual
corolla altis,2011,4.5,12.48,45000,27967.68179,Diesel,Manual
corolla altis,2013,7.45,18.61,56001,34804.84773,Petrol,Manual
etios liva,2011,2.65,5.71,43000,26724.67371,Petrol,Manual
etios cross,2014,4.9,8.93,83000,51584.8353,Diesel,Manual
etios g,2015,3.95,6.8,36000,22374.14543,Petrol,Manual
corolla altis,2013,5.5,14.68,72000,44748.29086,Petrol,Manual
corolla,2004,1.5,12.35,135154,83998.75699,Petrol,Automatic
corolla altis,2010,5.25,22.83,80000,49720.32318,Petrol,Automatic
fortuner,2012,14.5,30.61,89000,55313.85954,Diesel,Automatic
corolla altis,2016,14.73,14.89,23000,14294.59291,Diesel,Manual
etios gd,2015,4.75,7.85,40000,24860.16159,Diesel,Manual
innova,2017,23,25.39,15000,9322.560597,Diesel,Automatic
innova,2015,12.5,13.46,38000,23617.15351,Diesel,Manual
innova,2005,3.49,13.46,197176,122545.6805,Diesel,Manual
camry,2006,2.5,23.73,142000,88253.57365,Petrol,Automatic
land cruiser,2010,35,92.6,78000,48477.3151,Diesel,Manual
corolla altis,2012,5.9,13.74,56000,34804.22623,Petrol,Manual
etios liva,2013,3.45,6.05,47000,29210.68987,Petrol,Manual
etios g,2014,4.75,6.76,40000,24860.16159,Petrol,Manual
corolla altis,2009,3.8,18.61,62000,38533.25047,Petrol,Manual
innova,2014,11.25,16.09,58242,36197.63828,Diesel,Manual
innova,2005,3.51,13.7,75000,46612.80298,Petrol,Manual
fortuner,2015,23,30.61,40000,24860.16159,Diesel,Automatic
corolla altis,2008,4,22.78,89000,55313.85954,Petrol,Automatic
corolla altis,2012,5.85,18.61,72000,44748.29086,Petrol,Manual
innova,2016,20.75,25.39,29000,18023.61715,Diesel,Automatic
corolla altis,2017,17,18.64,8700,5407.085146,Petrol,Manual
corolla altis,2013,7.05,18.61,45000,27967.68179,Petrol,Manual
fortuner,2010,9.65,20.45,50024,31090.11809,Diesel,Manual
Royal Enfield Thunder 500,2016,1.75,1.9,3000,1864.512119,Petrol,Manual
UM Renegade Mojave,2017,1.7,1.82,1400,870.1056557,Petrol,Manual
KTM RC200,2017,1.65,1.78,4000,2486.016159,Petrol,Manual
Bajaj Dominar 400,2017,1.45,1.6,1200,745.8048477,Petrol,Manual
Royal Enfield Classic 350,2017,1.35,1.47,4100,2548.166563,Petrol,Manual
KTM RC390,2015,1.35,2.37,21700,13486.63766,Petrol,Manual
Hyosung GT250R,2014,1.35,3.45,16500,10254.81666,Petrol,Manual
Royal Enfield Thunder 350,2013,1.25,1.5,15000,9322.560597,Petrol,Manual
Royal Enfield Thunder 350,2016,1.2,1.5,18000,11187.07272,Petrol,Manual
Royal Enfield Classic 350,2017,1.2,1.47,11000,6836.544438,Petrol,Manual
KTM RC200,2016,1.2,1.78,6000,3729.024239,Petrol,Manual
Royal Enfield Thunder 350,2016,1.15,1.5,8700,5407.085146,Petrol,Manual
KTM 390 Duke ,2014,1.15,2.4,7000,4350.528278,Petrol,Manual
